cell_lat,cell_lon,pass_count,csetn1_avg,nsi,slope_deg,rpi,nearest_psr_name,distance_km,within_psr,priority_tier,annotation
-85.125,261.625,3,0.0,1.0,2.96,0.338158,de_Gerlache,98.4,False,Prime,strong CSETN suppression near de_Gerlache
-85.125,128.625,3,1.0,0.6656,2.34,0.284458,Sverdrup,95.6,False,Prime,
-88.375,47.125,3,1.0,0.6656,2.58,0.258455,Shackleton,49.0,False,Prime,
-87.875,52.625,4,0.0,1.0,4.48,0.2231,Faustini,44.1,False,Prime,strong CSETN suppression near Faustini
-87.125,83.125,3,1.3333,0.5541,2.57,0.21562,Faustini,2.3,True,Watch,confirmed within Faustini PSR — strong suppression
-88.375,228.125,3,1.0,0.6656,3.11,0.214224,de_Gerlache,37.4,False,Prime,
-88.875,180.125,3,0.3333,0.8885,4.18,0.212337,Shackleton,28.8,False,Prime,strong CSETN suppression near Shackleton
-88.375,113.375,3,0.0,1.0,5.07,0.19711,Sverdrup,38.3,False,Prime,strong CSETN suppression near Sverdrup
-88.375,227.125,3,0.6667,0.777,3.96,0.196125,de_Gerlache,38.2,False,Prime,strong CSETN suppression near de_Gerlache
-88.375,46.625,5,1.6,0.4649,2.37,0.195995,Shackleton,49.0,False,Watch,
-86.125,262.375,3,1.0,0.6656,3.41,0.195452,de_Gerlache,68.1,False,Prime,
-88.125,110.375,3,0.6667,0.777,4.01,0.19401,Sverdrup,42.4,False,Prime,strong CSETN suppression near Sverdrup
-87.125,240.375,3,0.6667,0.777,4.01,0.19385,de_Gerlache,51.4,False,Prime,strong CSETN suppression near de_Gerlache
-88.125,45.375,4,1.25,0.582,3.0,0.193763,Faustini,53.1,False,Watch,
-86.125,263.625,4,1.0,0.6656,3.45,0.192808,de_Gerlache,67.8,False,Prime,
-88.125,109.625,4,0.75,0.7492,3.98,0.188369,Faustini,42.3,False,Prime,strong CSETN suppression near Faustini
-86.625,245.875,3,0.3333,0.8885,4.76,0.186783,de_Gerlache,61.1,False,Prime,strong CSETN suppression near de_Gerlache
-86.625,177.625,3,1.0,0.6656,3.58,0.185966,Sverdrup,54.0,False,Prime,
-86.625,253.375,3,1.6667,0.4426,2.4,0.184765,de_Gerlache,56.7,False,Watch,
-87.625,2.625,3,1.0,0.6656,3.62,0.183678,Haworth,10.6,True,Prime,confirmed within Haworth PSR — strong suppression
-87.125,99.625,3,0.0,1.0,5.46,0.18313,Faustini,24.6,False,Prime,strong CSETN suppression near Faustini
-85.375,134.625,3,1.6667,0.4426,2.5,0.176922,Sverdrup,84.6,False,Watch,
-88.375,208.625,4,1.25,0.582,3.3,0.176375,Shackleton,48.4,False,Watch,
-86.875,242.375,3,0.6667,0.777,4.41,0.17615,de_Gerlache,56.6,False,Prime,strong CSETN suppression near de_Gerlache
-86.875,237.625,3,1.0,0.6656,3.89,0.170914,de_Gerlache,60.2,False,Prime,
-86.125,173.875,5,1.8,0.398,2.34,0.170428,Sverdrup,64.9,False,Watch,
-88.375,215.375,18,1.6667,0.4426,2.6,0.170116,de_Gerlache,47.4,False,Watch,
-85.125,260.375,3,0.0,1.0,5.92,0.168922,de_Gerlache,98.8,False,Prime,strong CSETN suppression near de_Gerlache
-86.875,243.625,3,0.6667,0.777,4.61,0.168645,de_Gerlache,55.7,False,Prime,strong CSETN suppression near de_Gerlache
-86.875,243.125,3,1.3333,0.5541,3.29,0.168465,de_Gerlache,56.0,False,Watch,
-87.625,299.125,4,1.5,0.4984,2.98,0.167303,de_Gerlache,35.5,False,Watch,
-87.625,358.625,3,1.6667,0.4426,2.65,0.167097,Haworth,6.4,True,Watch,confirmed within Haworth PSR boundary
-85.875,154.125,4,1.0,0.6656,4.01,0.165793,Sverdrup,64.5,False,Prime,
-88.375,224.875,3,1.0,0.6656,4.03,0.165151,de_Gerlache,40.0,False,Prime,
-85.375,262.125,3,0.6667,0.777,4.75,0.163693,de_Gerlache,90.8,False,Prime,strong CSETN suppression near de_Gerlache
-88.125,108.625,3,1.0,0.6656,4.09,0.162649,Faustini,41.4,False,Prime,
-85.625,261.375,4,1.25,0.582,3.59,0.16218,de_Gerlache,83.4,False,Watch,
-88.125,43.125,4,1.75,0.4148,2.63,0.157456,Faustini,55.3,False,Watch,
-86.875,271.375,3,1.3333,0.5541,3.53,0.157191,de_Gerlache,44.1,False,Watch,
-88.125,35.875,3,1.6667,0.4426,2.82,0.156937,Haworth,49.9,False,Watch,
-87.125,86.375,3,2.0,0.3311,2.11,0.156823,Faustini,5.2,True,Watch,confirmed within Faustini PSR boundary
-87.375,99.625,3,0.6667,0.777,4.96,0.156805,Faustini,24.0,False,Prime,strong CSETN suppression near Faustini
